Origin,Destination,Traffic
Aruba,"Bonaire, Saint Eustatius and Saba",5621
Aruba,Canada,83876
Aruba,Colombia,172908
Aruba,Cuba,19338
Aruba,Curaçao,134905
Aruba,Dominican Republic,15238
Aruba,Ecuador,572
Aruba,Nicaragua,7195
Aruba,Panama,105413
Aruba,Peru,4
Aruba,Sint Maarten,6718
Aruba,Suriname,13812
Aruba,United Kingdom,13764
Aruba,United States of America,1674348
Aruba,Venezuela,145628
Australia,Australia,64928412
Australia,Brunei Darussalam,16869
Australia,Cambodia,540
Australia,Canada,426538
Australia,Chile,101804
Australia,China,1378677
Australia,Taiwan,526048
Australia,Christmas Island,17796
Australia,Fiji,369854
Australia,Hong Kong,537007
Australia,Indonesia,667427
Australia,Japan,766901
Australia,Kenya,730
Australia,Malaysia,220329
Australia,Nauru,17851
Australia,New Caledonia,93444
Australia,New Zealand,1984952
Australia,Norfolk Island,27446
Australia,Papua New Guinea,268808
Australia,Philippines,297206
Australia,Qatar,174173
Australia,Singapore,4217604
Australia,Solomon Islands,55507
Australia,South Korea,109430
Australia,Tonga,24306
Australia,United Arab Emirates,663761
Australia,United States of America,547624
Australia,Vanuatu,187125
Australia,Vietnam,273918
Austria,Austria,551215
Austria,Bulgaria,2
Austria,Canada,225851
Austria,Croatia,180596
Austria,Egypt,2446
Austria,Estonia,363
Austria,France,185
Austria,Germany,445377
Austria,Greece,71676
Austria,Hungary,1
Austria,Israel,13877
Austria,Italy,440
Austria,Lithuania,66479
Austria,Netherlands,43322
Austria,Norway,2109
Austria,Poland,410844
Austria,Russia,3134
Austria,Slovenia,435
Austria,Spain,210523
Austria,Switzerland,998255
Austria,Turkey,29981
Austria,Ukraine,2073
Austria,United Kingdom,296341
Azerbaijan,Azerbaijan,104133
Azerbaijan,Belarus,48304
Azerbaijan,Bulgaria,3524
Azerbaijan,China,55645
Azerbaijan,Czechia,5628
Azerbaijan,Egypt,33
Azerbaijan,Georgia,137024
Azerbaijan,Germany,16847
Azerbaijan,India,78
Azerbaijan,Iran,116569
Azerbaijan,Iraq,3730
Azerbaijan,Israel,89987
Azerbaijan,Italy,23372
Azerbaijan,Kazakhstan,90660
Azerbaijan,Kuwait,64238
Azerbaijan,Latvia,11205
Azerbaijan,Montenegro,3020
Azerbaijan,Oman,1185
Azerbaijan,Romania,157
Azerbaijan,Russia,336610
Azerbaijan,Saudi Arabia,50709
Azerbaijan,Turkey,850313
Azerbaijan,Ukraine,183996
Azerbaijan,United Arab Emirates,185894
Azerbaijan,United Kingdom,38730
Azerbaijan,United States of America,22572
Azerbaijan,Uzbekistan,56272
Bahamas,Bahamas,603329
Bahamas,Canada,285871
Bahamas,Haiti,7272
Bahamas,Italy,41
Bahamas,Panama,29740
Bahamas,Saint Kitts and Nevis,164
Bahamas,Saint Lucia,176
Bahamas,Trinidad and Tobago,5006
Bahamas,Turks and Caicos Islands,26238
Bahamas,United States of America,427404
Bahrain,Azerbaijan,36209
Bahrain,Bangladesh,122107
Bahrain,Bosnia and Herzegovina,2398
Bahrain,Cyprus,50713
Bahrain,Egypt,279441
Bahrain,France,59606
Bahrain,Georgia,32083
Bahrain,Germany,84031
Bahrain,Hong Kong,31537
Bahrain,India,1335980
Bahrain,Iraq,192819
Bahrain,Kuwait,711168
Bahrain,Lebanon,68099
Bahrain,Maldives,3704
Bahrain,Morocco,71749
Bahrain,Oman,399871
Bahrain,Pakistan,576740
Bahrain,Philippines,178747
Bahrain,Qatar,2
Bahrain,Russia,44530
Bahrain,Saudi Arabia,1611941
Bahrain,Sri Lanka,159328
Bahrain,Sudan,42541
Bahrain,Thailand,148629
Bahrain,Turkey,418964
Bahrain,United Arab Emirates,1703741
Bahrain,United Kingdom,419958
Bangladesh,Bangladesh,2825086
Bangladesh,Bhutan,16502
Bangladesh,China,96053
Bangladesh,Germany,256
Bangladesh,Hong Kong,91591
Bangladesh,India,233567
Bangladesh,Japan,45
Bangladesh,Kuwait,389620
Bangladesh,Malaysia,810463
Bangladesh,Maldives,7388
Bangladesh,Myanmar,17028
Bangladesh,Nepal,130321
Bangladesh,Oman,425922
Bangladesh,Pakistan,1264
Bangladesh,Qatar,773289
Bangladesh,Saudi Arabia,1525034
Bangladesh,Singapore,529416
Bangladesh,Spain,434
Bangladesh,Turkey,171974
Bangladesh,United Arab Emirates,1417858
Bangladesh,United Kingdom,96992
Barbados,Bahamas,2052
Barbados,Brazil,1246
Barbados,British Virgin Islands,8529
Barbados,Canada,213890
Barbados,Dominica,37722
Barbados,Germany,101507
Barbados,Grenada,94642
Barbados,Guadeloupe,7791
Barbados,Guyana,83618
Barbados,Jamaica,31271
Barbados,Martinique,21637
Barbados,Panama,17803
Barbados,Saint Kitts and Nevis,17360
Barbados,Saint Lucia,87423
Barbados,Saint Vincent and the Grenadines,135671
Barbados,Sint Maarten,2372
Barbados,Trinidad and Tobago,163092
Barbados,United Kingdom,720146
Barbados,United States of America,584200
Belarus,Austria,104810
Belarus,China,21444
Belarus,Czechia,70522
Belarus,Estonia,16908
Belarus,France,9497
Belarus,Georgia,88970
Belarus,Germany,47302
Belarus,Israel,56049
Belarus,Italy,45879
Belarus,Kazakhstan,76931
Belarus,Latvia,66190
Belarus,Lithuania,43798
Belarus,Poland,134636
Belarus,Russia,231601
Belarus,Ukraine,158133
Belarus,Uzbekistan,41218
Belgium,Albania,57475
Belgium,Algeria,51627
Belgium,Angola,14615
Belgium,Armenia,17894
Belgium,Austria,491584
Belgium,Belarus,29244
Belgium,Belgium,529
Belgium,Benin,33337
Belgium,Bulgaria,262337
Belgium,Burkina Faso,42641
Belgium,Cameroon,161784
Belgium,Canada,318587
Belgium,Cape Verde,59255
Belgium,Chile,8
Belgium,China,210107
Belgium,Croatia,242737
Belgium,Cuba,30943
Belgium,Cyprus,61846
Belgium,Czechia,491536
Belgium,Democratic Republic of the Congo,109289
Belgium,Denmark,611842
Belgium,Dominican Republic,114840
Belgium,Egypt,287513
Belgium,Estonia,67646
Belgium,Finland,300306
Belgium,France,1887122
Belgium,Georgia,30836
Belgium,Germany,1832692
Belgium,Greece,682408
Belgium,Guadeloupe,2748
Belgium,Guinea,27452
Belgium,Hong Kong,92404
Belgium,Hungary,540188
Belgium,Iceland,104907
Belgium,India,5
Belgium,Iran,15570
Belgium,Ireland,495718
Belgium,Israel,297560
Belgium,Italy,3199390
Belgium,Jamaica,28555
Belgium,Japan,112670
Belgium,Kazakhstan,447
Belgium,Kenya,7941
Belgium,Latvia,161925
Belgium,Liberia,46221
Belgium,Lithuania,97903
Belgium,Luxembourg,1
Belgium,North Macedonia,58490
Belgium,Malta,228933
Belgium,Martinique,1540
Belgium,Mexico,53208
Belgium,Moldova,40708
Belgium,Montenegro,53834
Belgium,Morocco,1169754
Belgium,Netherlands,3715
Belgium,Norway,278926
Belgium,Poland,844822
Belgium,Portugal,1580303
Belgium,Qatar,170883
Belgium,Romania,567199
Belgium,Russia,354786
Belgium,Rwanda,103002
Belgium,Saudi Arabia,186
Belgium,Senegal,107274
Belgium,Serbia,29747
Belgium,Sierra Leone,50628
Belgium,Slovenia,101364
Belgium,Spain,3225291
Belgium,Sweden,204384
Belgium,Switzerland,1134297
Belgium,Tanzania,10030
Belgium,Togo,40397
Belgium,Tunisia,304738
Belgium,Turkey,680956
Belgium,Uganda,82430
Belgium,Ukraine,157725
Belgium,United Arab Emirates,346825
Belgium,United Kingdom,1356091
Belgium,United States of America,898842
Belize,Bahamas,160
Belize,Belize,1829597
Belize,Canada,33372
Belize,Cayman Islands,160
Belize,El Salvador,27598
Belize,Guatemala,18417
Belize,Honduras,7430
Belize,Mexico,14009
Belize,Panama,16284
Belize,United States of America,639798
Benin,Benin,1956
Benin,Burkina Faso,15451
Benin,Cameroon,61453
Benin,Congo,14649
Benin,Democratic Republic of the Congo,680
Benin,Equatorial Guinea,22956
Benin,Gabon,86914
Benin,Kenya,4865
Benin,Mauritania,2306
Benin,Niger,4013
Benin,Nigeria,5075
Benin,Rwanda,11374
Benin,Senegal,33801
Benin,Togo,10743
Benin,Tunisia,4925
Benin,Turkey,31563
Bermuda,Canada,98558
Bermuda,United Kingdom,95262
Bermuda,United States of America,605713
Bhutan,Bhutan,63597
Bhutan,India,1742
Bhutan,Singapore,3065
Bolivia,Argentina,15
Bolivia,Bolivia,4575522
Bolivia,Brazil,32955
Bolivia,Chile,62762
Bolivia,Dominican Republic,108
Bolivia,Spain,9124
Bolivia,United States of America,14
"Bonaire, Saint Eustatius & Saba",Canada,272
"Bonaire, Saint Eustatius & Saba",Curaçao,115731
"Bonaire, Saint Eustatius & Saba",Dominican Republic,1873
"Bonaire, Saint Eustatius & Saba",Haiti,137
"Bonaire, Saint Eustatius & Saba",Saint Kitts and Nevis,31
"Bonaire, Saint Eustatius & Saba",Sint Maarten,88295
"Bonaire, Saint Eustatius & Saba",United States of America,59912
"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba",2848
Bosnia and Herzegovina,Albania,159
Bosnia and Herzegovina,Austria,193786
Bosnia and Herzegovina,Belgium,38100
Bosnia and Herzegovina,Bulgaria,56
Bosnia and Herzegovina,Croatia,69898
Bosnia and Herzegovina,Germany,106263
Bosnia and Herzegovina,Iran,9768
Bosnia and Herzegovina,Montenegro,416
Bosnia and Herzegovina,Russia,2058
Bosnia and Herzegovina,Sweden,59020
Bosnia and Herzegovina,Switzerland,14894
Botswana,Botswana,89500
Botswana,Namibia,11961
Botswana,Seychelles,156
Botswana,South Africa,399007
Botswana,Zambia,280
Botswana,Zimbabwe,410
Brazil,Angola,141789
Brazil,Argentina,347441
Brazil,Bolivia,205847
Brazil,Brazil,96621314
Brazil,Canada,224205
Brazil,Cape Verde,117662
Brazil,Chile,2071358
Brazil,China,26242
Brazil,Dominican Republic,61892
Brazil,Ecuador,30131
Brazil,Falkland Islands (Malvinas),1573
Brazil,French Guiana,9544
Brazil,Germany,24185
Brazil,Israel,60255
Brazil,Italy,138816
Brazil,Mexico,345648
Brazil,Panama,999439
Brazil,Peru,856506
Brazil,Poland,2
Brazil,Portugal,1732521
Brazil,Russia,1
Brazil,South Africa,241087
Brazil,Spain,835843
Brazil,Suriname,38550
Brazil,Switzerland,277763
Brazil,Turkey,147422
Brazil,United Kingdom,658002
Brazil,United States of America,3638852
Brazil,Uruguay,571568
British Virgin Islands,"Bonaire, Saint Eustatius and Saba",15
British Virgin Islands,British Virgin Islands,69354
British Virgin Islands,Dominican Republic,37459
British Virgin Islands,Guyana,1203
British Virgin Islands,Saint Kitts and Nevis,38888
British Virgin Islands,Saint Vincent and the Grenadines,2923
British Virgin Islands,Sint Maarten,78830
British Virgin Islands,Turks and Caicos Islands,25
British Virgin Islands,United States of America,234534
Brunei Darussalam,Australia,124584
Brunei Darussalam,Bangladesh,104
Brunei Darussalam,China,112142
Brunei Darussalam,Taiwan,28938
Brunei Darussalam,Hong Kong,76833
Brunei Darussalam,Indonesia,161139
Brunei Darussalam,Japan,28680
Brunei Darussalam,Malaysia,426837
Brunei Darussalam,Philippines,126980
Brunei Darussalam,Saudi Arabia,17356
Brunei Darussalam,Singapore,230736
Brunei Darussalam,South Korea,37778
Brunei Darussalam,United Arab Emirates,74878
Brunei Darussalam,United Kingdom,128444
Brunei Darussalam,Vietnam,41349
Bulgaria,Albania,199
Bulgaria,Austria,489006
Bulgaria,Belgium,45095
Bulgaria,Bulgaria,284802
Bulgaria,Czechia,223232
Bulgaria,Denmark,28458
Bulgaria,Egypt,3183
Bulgaria,Estonia,150
Bulgaria,Finland,27641
Bulgaria,France,8496
Bulgaria,Georgia,303
Bulgaria,Germany,235994
Bulgaria,Greece,1270
Bulgaria,Hungary,26562
Bulgaria,Ireland,52048
Bulgaria,Israel,340508
Bulgaria,Italy,37758
Bulgaria,Kuwait,894
Bulgaria,Latvia,624
Bulgaria,Lithuania,173
Bulgaria,Luxembourg,8798
Bulgaria,Montenegro,210
Bulgaria,Morocco,240
Bulgaria,Netherlands,3704
Bulgaria,Norway,24141
Bulgaria,Poland,328501
Bulgaria,Russia,512598
Bulgaria,Slovakia,68563
Bulgaria,Spain,56166
Bulgaria,Sweden,4757
Bulgaria,Switzerland,50758
Bulgaria,Ukraine,15362
Bulgaria,United Arab Emirates,17021
Bulgaria,United Kingdom,565052
Burkina Faso,Burkina Faso,29328
Burkina Faso,Tunisia,15722
Burundi,Belgium,10611
Burundi,Kenya,74789
Burundi,Nigeria,126
Burundi,Rwanda,54608
Burundi,Saudi Arabia,129
Burundi,Tanzania,13383
Burundi,Uganda,4644
Cambodia,Cambodia,928969
Cambodia,China,1579859
Cambodia,Taiwan,285398
Cambodia,Japan,144
Cambodia,Laos,38541
Cambodia,Macau,184528
Cambodia,Malaysia,109634
Cambodia,Myanmar,32310
Cambodia,Philippines,11005
Cambodia,Singapore,607511
Cambodia,South Korea,860
Cambodia,Vietnam,747382
Cameroon,Cameroon,220080
Cameroon,Chad,50354
Cameroon,Congo,15743
Cameroon,Democratic Republic of the Congo,10798
Cameroon,Equatorial Guinea,61771
Cameroon,Gabon,67632
Cameroon,Kenya,23514
Cameroon,Nigeria,15153
Cameroon,Rwanda,26447
Cameroon,Sao Tome and Principe,3226
Cameroon,Senegal,1171
Cameroon,South Africa,7846
Cameroon,Togo,38138
Cameroon,Turkey,37919
Canada,Bahamas,11364
Canada,Canada,49854698
Canada,Croatia,64733
Canada,Mexico,99214
Canada,Switzerland,436691
Cape Verde,Brazil,65689
Cape Verde,Cape Verde,481653
Cape Verde,Denmark,2466
Cape Verde,Finland,6612
Cape Verde,France,730
Cape Verde,Germany,77788
Cape Verde,Italy,27943
Cape Verde,Luxembourg,3503
Cape Verde,Netherlands,4502
Cape Verde,Poland,13288
Cape Verde,Portugal,25108
Cape Verde,Sao Tome and Principe,8660
Cape Verde,Sweden,1908
Cape Verde,United Kingdom,154741
Cayman Islands,Bahamas,13470
Cayman Islands,Canada,62550
Cayman Islands,Cayman Islands,113686
Cayman Islands,Cuba,21316
Cayman Islands,Honduras,15074
Cayman Islands,Jamaica,66945
Cayman Islands,United Kingdom,30673
Cayman Islands,United States of America,572731
Central African Republic,Benin,747
Central African Republic,Cameroon,58123
Central African Republic,Chad,1497
Central African Republic,France,20768
Central African Republic,Kenya,24504
Central African Republic,Morocco,19455
Central African Republic,Pakistan,260
Central African Republic,Togo,12222
Central African Republic,Uganda,11605
Chad,Cameroon,2761
Chad,Chad,38349
Chad,Niger,887
Chad,Nigeria,111
Chile,Argentina,21603
Chile,Australia,233413
Chile,Bolivia,60274
Chile,Brazil,2313
Chile,Canada,103202
Chile,Chile,15113260
Chile,Costa Rica,6764
Chile,Ecuador,36991
Chile,French Polynesia,12948
Chile,Israel,2741
Chile,Peru,54810
Chile,United States of America,75
China,Australia,2263895
China,Austria,341504
China,Azerbaijan,6774
China,Bangladesh,262400
China,Cambodia,2717895
China,Canada,2694716
China,China,575858885
China,Taiwan,8444580
China,Croatia,25912
China,Czechia,109008
China,Fiji,982
China,Finland,129557
China,France,222342
China,Georgia,10594
China,Germany,194683
China,Hong Kong,3116665
China,India,385013
China,Indonesia,1118131
China,Iran,77864
China,Israel,259128
China,Italy,189046
China,Japan,4202847
China,Kazakhstan,68220
China,Kenya,140522
China,Laos,697162
China,Macau,1126456
China,Madagascar,11930
China,Malaysia,2553434
China,Maldives,115099
China,Mauritius,80
China,Mexico,38060
China,Mongolia,298342
China,Myanmar,1208919
China,Nepal,433432
China,New Zealand,113614
China,Oman,75569
China,Pakistan,10887
China,Panama,6536
China,Philippines,1228123
China,Poland,138226
China,Qatar,392280
China,Reunion,8435
China,Russia,2709452
China,Rwanda,14346
China,Saudi Arabia,176477
China,Singapore,6006091
China,South Africa,290
China,South Korea,3880040
China,Spain,32797
China,Sri Lanka,151194
China,Sweden,3423
China,Switzerland,322271
China,Thailand,2570883
China,Turkey,278453
China,United Arab Emirates,709686
China,United Kingdom,312541
China,United States of America,3059017
China,Uzbekistan,84423
China,Vietnam,2933166
Cocos (Keeling) Islands,Australia,13206
Cocos (Keeling) Islands,Christmas Island,13211
Colombia,Argentina,98
Colombia,Bolivia,125120
Colombia,Brazil,542043
Colombia,Canada,185277
Colombia,Chile,666284
Colombia,Colombia,29032323
Colombia,Costa Rica,218205
Colombia,Cuba,100319
Colombia,Curaçao,121184
Colombia,Dominican Republic,318781
Colombia,Ecuador,733941
Colombia,El Salvador,293483
Colombia,France,178312
Colombia,Germany,265533
Colombia,Guatemala,62316
Colombia,Mexico,1437587
Colombia,Panama,2135816
Colombia,Peru,1171030
Colombia,Spain,1060173
Colombia,Turkey,46598
Colombia,United Kingdom,158149
Colombia,United States of America,3604787
Colombia,Uruguay,17928
Colombia,Venezuela,235573
Comoros,Comoros,70712
Comoros,Kenya,27711
Comoros,Madagascar,23448
Comoros,Mayotte,47620
Comoros,Reunion,10467
Comoros,Seychelles,642
Comoros,Tanzania,688
Comoros,Turkey,10532
Congo,Angola,5916
Congo,Benin,14870
Congo,Cameroon,17723
Congo,Congo,225008
Congo,Democratic Republic of the Congo,13980
Congo,Equatorial Guinea,10052
Congo,France,61002
Congo,Gabon,24399
Congo,Kenya,10555
Congo,Mauritania,178
Congo,Morocco,21957
Congo,Rwanda,14958
Congo,Sao Tome and Principe,90
Congo,Senegal,3
Congo,Togo,18791
Cook Islands,Australia,29029
Cook Islands,Cook Islands,68812
Costa Rica,Canada,356446
Costa Rica,Costa Rica,253939
Costa Rica,Honduras,73506
Costa Rica,Mexico,4923
Costa Rica,Panama,15954
Costa Rica,Switzerland,76389
Costa Rica,United States of America,175775
Cote dIvoire,Algeria,31066
Cote dIvoire,Belgium,82917
Cote dIvoire,Benin,110382
Cote dIvoire,Burkina Faso,109425
Cote dIvoire,Cameroon,55632
Cote dIvoire,Chad,10720
Cote dIvoire,Congo,28346
Cote dIvoire,Democratic Republic of the Congo,6380
Cote dIvoire,Egypt,2394
Cote dIvoire,Equatorial Guinea,1806
Cote dIvoire,Ethiopia,74866
Cote dIvoire,France,421306
Cote dIvoire,Gabon,48417
Cote dIvoire,Ghana,103755
Cote dIvoire,Guinea,103540
Cote dIvoire,Guinea Bissau,1
Cote dIvoire,Cote dIvoire,103040
Cote dIvoire,Kenya,20828
Cote dIvoire,Lebanon,52414
Cote dIvoire,Liberia,27789
Cote dIvoire,Mali,118730
Cote dIvoire,Mauritania,617
Cote dIvoire,Morocco,117831
Cote dIvoire,Niger,48008
Cote dIvoire,Nigeria,68837
Cote dIvoire,Portugal,45567
Cote dIvoire,Senegal,207417
Cote dIvoire,Sierra Leone,4596
Cote dIvoire,South Africa,14332
Cote dIvoire,Togo,70111
Cote dIvoire,Tunisia,49242
Cote dIvoire,Turkey,39256
Cote dIvoire,United Arab Emirates,69333
Cote dIvoire,United States of America,44057
Croatia,Austria,162186
Croatia,Canada,258
Croatia,China,826
Croatia,Croatia,552286
Croatia,Czechia,32369
Croatia,Estonia,6536
Croatia,Finland,85071
Croatia,France,99728
Croatia,Germany,603016
Croatia,Ireland,104076
Croatia,Israel,11327
Croatia,Italy,158252
Croatia,Japan,423
Croatia,Latvia,7350
Croatia,Lithuania,22
Croatia,Luxembourg,3805
Croatia,Netherlands,47536
Croatia,Norway,88964
Croatia,Poland,94211
Croatia,Russia,40746
Croatia,Serbia,95
Croatia,Slovenia,285
Croatia,Spain,89154
Croatia,Switzerland,248618
Croatia,Turkey,79266
Croatia,United Arab Emirates,11081
Croatia,United Kingdom,608180
Croatia,United States of America,18040
Cuba,Angola,11693
Cuba,Argentina,7412
Cuba,Austria,358
Cuba,Bahamas,24583
Cuba,Canada,2160511
Cuba,Cape Verde,348
Cuba,China,851
Cuba,Costa Rica,10
Cuba,Cuba,385252
Cuba,Dominican Republic,60509
Cuba,El Salvador,78891
Cuba,Finland,12919
Cuba,Germany,21393
Cuba,Guadeloupe,5794
Cuba,Haiti,123546
Cuba,Italy,126074
Cuba,Jamaica,2077
Cuba,Mexico,549042
Cuba,Nicaragua,23956
Cuba,Panama,687268
Cuba,Peru,177317
Cuba,Poland,22912
Cuba,Russia,159481
Cuba,Spain,522354
Cuba,Suriname,26305
Cuba,Switzerland,67227
Cuba,Trinidad and Tobago,21073
Cuba,Turkey,42074
Cuba,United Kingdom,137139
Cuba,United States of America,1156871
Cuba,Venezuela,2296
Curaçao,Canada,38984
Curaçao,Dominican Republic,35290
Curaçao,Ecuador,618
Curaçao,Germany,6379
Curaçao,Grenada,210
Curaçao,Haiti,10528
Curaçao,Jamaica,83
Curaçao,Martinique,60
Curaçao,Panama,61998
Curaçao,Sint Maarten,48436
Curaçao,Suriname,38784
Curaçao,Trinidad and Tobago,22145
Curaçao,United States of America,207200
Curaçao,Venezuela,1919
Cyprus,Austria,305785
Cyprus,Belarus,38002
Cyprus,Bulgaria,157960
Cyprus,Cyprus,129
Cyprus,Czechia,51638
Cyprus,Estonia,36341
Cyprus,Finland,616
Cyprus,Germany,228818
Cyprus,Greece,443743
Cyprus,Israel,707427
Cyprus,Italy,36615
Cyprus,Latvia,55593
Cyprus,Lithuania,39972
Cyprus,North Macedonia,17458
Cyprus,Malta,32617
Cyprus,Norway,43150
Cyprus,Poland,140239
Cyprus,Romania,146247
Cyprus,Russia,106639
Cyprus,Sweden,1226
Cyprus,Switzerland,150035
Cyprus,Turkey,2736193
Cyprus,Ukraine,7676
Cyprus,United Kingdom,1012440
Czechia,Albania,15332
Czechia,Austria,187898
Czechia,Bulgaria,99705
Czechia,Canada,60636
Czechia,China,86556
Czechia,Croatia,93244
Czechia,Czechia,2190
Czechia,Egypt,156879
Czechia,Estonia,1331
Czechia,France,27980
Czechia,Georgia,18449
Czechia,Germany,29932
Czechia,Greece,393372
Czechia,Israel,365475
Czechia,Italy,291363
Czechia,Kazakhstan,14303
Czechia,Latvia,114478
Czechia,Morocco,36360
Czechia,Norway,338
Czechia,Poland,254691
Czechia,Russia,274933
Czechia,Spain,129372
Czechia,Switzerland,308510
Czechia,Tunisia,5537
Czechia,United Arab Emirates,67671
Czechia,United Kingdom,193144
Democratic Republic of the Congo,Angola,5184
Democratic Republic of the Congo,Chad,4
Democratic Republic of the Congo,Congo,4504
Democratic Republic of the Congo,Democratic Republic of the Congo,548329
Democratic Republic of the Congo,Gabon,23642
Democratic Republic of the Congo,Kenya,100895
Democratic Republic of the Congo,Malawi,2784
Democratic Republic of the Congo,Morocco,601
Democratic Republic of the Congo,Nigeria,2
Democratic Republic of the Congo,Rwanda,28432
Democratic Republic of the Congo,South Africa,89258
Democratic Republic of the Congo,Togo,23161
Democratic Republic of the Congo,Turkey,58511
Democratic Republic of the Congo,Zambia,9821
Denmark,Albania,2628
Denmark,Austria,534020
Denmark,Belgium,109196
Denmark,Bosnia and Herzegovina,29468
Denmark,Bulgaria,104188
Denmark,Canada,163926
Denmark,Cape Verde,2800
Denmark,China,351412
Denmark,Croatia,205733
Denmark,Cyprus,23565
Denmark,Czechia,374654
Denmark,Denmark,2041644
Denmark,Dominican Republic,9091
Denmark,Egypt,38863
Denmark,Estonia,120384
Denmark,Finland,946369
Denmark,France,541000
Denmark,Georgia,10740
Denmark,Germany,2965720
Denmark,Greece,193193
Denmark,Greenland,151409
Denmark,Hong Kong,100203
Denmark,Hungary,54564
Denmark,Iceland,547087
Denmark,India,81478
Denmark,Iraq,28978
Denmark,Ireland,267691
Denmark,Israel,46256
Denmark,Italy,1282121
Denmark,Japan,137536
Denmark,Latvia,268664
Denmark,Lithuania,353049
Denmark,Luxembourg,80099
Denmark,North Macedonia,42244
Denmark,Malta,52127
Denmark,Mauritius,2626
Denmark,Mexico,5279
Denmark,Moldova,15718
Denmark,Montenegro,10541
Denmark,Morocco,50604
Denmark,Netherlands,314982
Denmark,Norway,2397804
Denmark,Pakistan,33146
Denmark,Poland,897279
Denmark,Portugal,340770
Denmark,Qatar,403412
Denmark,Romania,200323
Denmark,Russia,145665
Denmark,Serbia,5376
Denmark,Singapore,122908
Denmark,Slovakia,64
Denmark,Slovenia,28097
Denmark,Spain,1102125
Denmark,Sweden,331361
Denmark,Switzerland,738282
Denmark,Thailand,64399
Denmark,Tunisia,17994
Denmark,Turkey,699014
Denmark,Ukraine,211023
Denmark,United Arab Emirates,318033
Denmark,United Kingdom,3376948
Denmark,United States of America,949890
Denmark,Vietnam,3492
